noise_setting,topology,qaoa_depth_p,optimizer,mean_noisy_expected_ratio,std_noisy_expected_ratio,mean_quality_drop,mean_noisy_optimal_probability
combined,linear,1,COBYLA,0.7184206016212902,0.073716482189127,0.026807590936108183,0.06897786458333334
combined,linear,1,SPSA,0.703105007280816,0.07251810338477402,0.02073000386417579,0.06270345052083333
combined,linear,2,COBYLA,0.7257029822671154,0.049316746856343185,0.07073632105843296,0.07367350260416666
combined,linear,2,SPSA,0.7021556180208104,0.05208198591131519,0.05524563701166917,0.06600748697916667
combined,linear,3,COBYLA,0.7061794845100362,0.046232569525338656,0.09416109333396985,0.06709798177083333
combined,linear,3,SPSA,0.6950194941052839,0.05646273066161188,0.09134524158814863,0.06832682291666667
depolarizing,linear,1,COBYLA,0.7246660811848149,0.07815081836606347,0.020562111372583562,0.07430013020833333
depolarizing,linear,1,SPSA,0.7081895540533941,0.07687185041409061,0.01564545709159767,0.067431640625
depolarizing,linear,2,COBYLA,0.7326952732386041,0.05240734403499559,0.06374403008694436,0.07970377604166666
depolarizing,linear,2,SPSA,0.707864422109071,0.05525326818804454,0.049536832923408505,0.07134602864583334
depolarizing,linear,3,COBYLA,0.7116761221652347,0.048563585433529816,0.0886644556787714,0.073095703125
depolarizing,linear,3,SPSA,0.7000408409477543,0.05915917643881725,0.08632389474567811,0.0740966796875
noiseless,linear,1,COBYLA,0.7452281925573985,0.08957896303970801,0.0,0.08890652633288984
noiseless,linear,1,SPSA,0.7238350111449917,0.08910758258609182,0.0,0.0802498044545362
noiseless,linear,2,COBYLA,0.7964393033255484,0.06519299462728866,0.0,0.12625736868761614
noiseless,linear,2,SPSA,0.7574012550324796,0.08457598744767311,0.0,0.11503132361952335
noiseless,linear,3,COBYLA,0.800340577844006,0.06879114880222555,0.0,0.14625091907697996
noiseless,linear,3,SPSA,0.7863647356934325,0.09157627126641603,0.0,0.15394047318346463
readout,linear,1,COBYLA,0.7366935068379366,0.0844439502527336,0.008534685719461803,0.08155924479166667
readout,linear,1,SPSA,0.7173872785319602,0.08409130793073442,0.006447732613031622,0.07395833333333333
readout,linear,2,COBYLA,0.7839717616019263,0.06027140964583349,0.01246754172362201,0.11280110677083334
readout,linear,2,SPSA,0.7487700840896799,0.07799914046199226,0.008631170942799504,0.10465494791666667
readout,linear,3,COBYLA,0.7869823356551735,0.06306105803158206,0.013358242188832558,0.1296630859375
readout,linear,3,SPSA,0.774573773584327,0.08523580053771322,0.011790962109105546,0.1373779296875
